Sample,FBS_TX_PWR,Distance,no_victims,IMSI1,IMSI2,IMSI3,IMSI4,log_file
1,90,2,4,33,15,16,27,Multi_Victim_2m/epc2m903.csv
2,85,2,4,8,23,20,16,Multi_Victim_2m/epc2m853.csv
3,70,2,0,-,-,-,-,Multi_Victim_2m/epc2m701.csv
4,85,2,3,34,-,15,16,Multi_Victim_2m/epc2m852.csv
5,75,2,1,-,-,24,-,Multi_Victim_2m/epc2m755.csv
6,80,2,3,33,85,17,-,Multi_Victim_2m/epc2m802.csv
7,80,2,4,30,22,29,18,Multi_Victim_2m/epc2m801.csv
8,85,2,4,32,19,17,15,Multi_Victim_2m/epc2m854.csv
9,85,2,4,8,19,17,15,Multi_Victim_2m/epc2m851.csv
10,90,2,4,33,16,19,17,Multi_Victim_2m/epc2m902.csv
11,75,2,1,-,-,70,-,Multi_Victim_2m/epc2m752.csv
12,70,2,0,-,-,-,-,Multi_Victim_2m/epc2m702.csv
13,90,2,4,35,15,15,100,Multi_Victim_2m/epc2m906.csv
14,80,2,3,46,14,-,27,Multi_Victim_2m/epc2m804.csv
15,75,2,3,-,18,19,41,Multi_Victim_2m/epc2m751.csv
16,80,2,4,33,15,20,21,Multi_Victim_2m/epc2m805.csv
17,85,2,4,32,15,15,15,Multi_Victim_2m/epc2m856.csv
18,90,2,4,33,15,15,16,Multi_Victim_2m/epc2m904.csv
19,75,2,3,-,26,27,30,Multi_Victim_2m/epc2m756.csv
20,75,2,2,-,-,17,77,Multi_Victim_2m/epc2m753.csv
21,80,2,4,16,25,21,14,Multi_Victim_2m/epc2m806.csv
22,90,2,3,32,32,-,24,Multi_Victim_2m/epc2m907.csv
23,75,2,1,-,-,28,-,Multi_Victim_2m/epc2m754.csv
24,90,2,4,34,18,17,14,Multi_Victim_2m/epc2m905.csv
25,80,2,4,33,19,17,25,Multi_Victim_2m/epc2m803.csv
26,70,2,0,-,-,-,-,Multi_Victim_2m/epc2m703.csv
27,90,2,4,34,18,16,15,Multi_Victim_2m/epc2m901.csv
28,85,2,4,33,16,15,21,Multi_Victim_2m/epc2m855.csv
29,90,1,4,37,15,15,16,Multi_Victim_1m/epc1m905.csv
30,70,1,4,33,15,19,21,Multi_Victim_1m/epc1m703.csv
31,90,1,4,8,25,17,16,Multi_Victim_1m/epc1m901.csv
32,85,1,4,33,18,15,15,Multi_Victim_1m/epc1m855.csv
33,85,1,4,30,21,14,25,Multi_Victim_1m/epc1m853.csv
34,85,1,4,32,23,15,15,Multi_Victim_1m/epc1m851.csv
35,80,1,4,33,17,15,16,Multi_Victim_1m/epc1m804.csv
36,70,1,3,27,17,-,16,Multi_Victim_1m/epc1m705.csv
37,80,1,4,85,14,16,68,Multi_Victim_1m/epc1m801.csv
38,65,1,3,-,23,22,94,Multi_Victim_1m/epc1m655.csv
39,65,1,2,-,49,15,-,Multi_Victim_1m/epc1m651.csv
40,75,1,4,32,23,16,14,Multi_Victim_1m/epc1m751.csv
41,65,1,1,-,-,22,-,Multi_Victim_1m/epc1m652.csv
42,75,1,4,33,20,15,53,Multi_Victim_1m/epc1m754.csv
43,75,1,4,33,20,15,16,Multi_Victim_1m/epc1m755.csv
44,70,1,4,33,37,19,48,Multi_Victim_1m/epc1m701.csv
45,85,1,4,33,16,25,15,Multi_Victim_1m/epc1m852.csv
46,70,1,4,34,16,16,25,Multi_Victim_1m/epc1m704.csv
47,75,1,3,8,26,-,16,Multi_Victim_1m/epc1m752.csv
48,80,1,3,-,23,16,52,Multi_Victim_1m/epc1m803.csv
49,85,1,4,32,15,15,40,Multi_Victim_1m/epc1m854.csv
50,70,1,4,32,33,26,17,Multi_Victim_1m/epc1m702.csv
51,75,1,4,33,15,19,23,Multi_Victim_1m/epc1m753.csv
52,90,1,4,21,11,11,11,Multi_Victim_1m/epc1m902.csv
53,80,1,4,33,18,14,18,Multi_Victim_1m/epc1m805.csv
54,90,1,4,19,10,10,9,Multi_Victim_1m/epc1m903.csv
55,65,1,4,72,53,16,28,Multi_Victim_1m/epc1m654.csv
56,90,1,4,33,15,15,16,Multi_Victim_1m/epc1m904.csv
57,80,1,4,19,20,9,9,Multi_Victim_1m/epc1m802.csv
58,65,1,2,-,-,15,16,Multi_Victim_1m/epc1m653.csv
59,70,2,0,-,-,-,-,
60,70,2,0,-,-,-,-,
61,65,2,0,-,-,-,-,
62,65,2,0,-,-,-,-,
63,65,2,0,-,-,-,-,
64,65,2,0,-,-,-,-,
65,65,2,0,-,-,-,-,
66,60,1,0,-,-,-,-,
67,60,1,0,-,-,-,-,
68,60,1,0,-,-,-,-,
69,60,1,0,-,-,-,-,
70,60,1,0,-,-,-,-,
71,60,2,0,-,-,-,-,
72,60,2,0,-,-,-,-,
73,60,2,0,-,-,-,-,
74,60,2,0,-,-,-,-,
75,60,2,0,-,-,-,-,
