time;cc;earfcn;pci;rsrp;pl;cfo;pci_neigh;rsrp_neigh;cfo_neigh;dl_mcs;dl_snr;dl_turbo;dl_brate;dl_bler;ul_ta;distance_km;speed_kmph;ul_mcs;ul_buff;ul_brate;ul_bler;rf_o;rf_u;rf_l;is_attached;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;sys_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3;cpu_4;cpu_5;cpu_6;cpu_7;cpu_8;cpu_9;cpu_10;cpu_11;cpu_12;cpu_13;cpu_14;cpu_15
499;0;3350;1;-67;67;3160.692139;n/a;n/a;n/a;2.0;21;1.0;356;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;932116;1814164;45;3.4;22;24;12;20;3.8;22;30;3.8;12;9.8;7.8;16;12;16;18;5.8;12
998;0;3350;1;-67;67;3112.717285;n/a;n/a;n/a;3.1;22;1.0;4416.000000;0;0.52;0.078;0.0;22;0.0;43984.000000;0;0.0;0.0;0.0;1.0;6.6;933960;1947124;46;6.2;22;26;32;24;14;22;28;10;10;18;18;22;8.0;24;28;22;26
1497;0;3350;1;-67;67;3112.067627;n/a;n/a;n/a;0.0;23;0.0;0.0;0.0;0.52;0.078;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;6.6;933960;1947124;46;6.4;22;26;30;20;1.8;22;28;7.8;12;16;18;18;5.8;24;24;20;30
1996;0;3350;1;-67;67;3114.137451;n/a;n/a;n/a;0.0;23;0.0;0.0;0.0;0.52;0.078;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;6.6;933960;1947124;46;6.4;22;24;32;20;12;20;30;4.0;2.0;16;18;18;4.0;16;24;20;32
2495;0;3350;1;-67;67;3113.105957;n/a;n/a;n/a;0.0;23;0.0;0.0;0.0;0.52;0.078;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;6.6;933960;1947124;46;6.4;22;26;30;20;7.8;18;28;9.8;3.8;14;16;16;1.8;16;20;20;30
2994;0;3350;1;-67;67;3114.068604;n/a;n/a;n/a;0.0;23;0.0;0.0;0.0;0.52;0.078;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;6.6;933960;1947124;46;6.5;22;24;32;22;14;20;28;3.8;3.8;14;16;16;1.8;14;18;18;30
3493;0;3350;1;-67;67;3116.775391;n/a;n/a;n/a;0.0;22;0.0;0.0;0.0;0.52;0.078;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;6.6;933960;1947124;46;6.1;22;24;32;18;4.0;18;30;20;14;16;16;18;2.0;16;20;0.0;30
3992;0;3350;1;-67;67;3117.426514;n/a;n/a;n/a;0.0;21;0.0;0.0;0.0;0.52;0.078;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;6.6;933960;1947124;46;6.1;22;26;30;20;1.8;18;28;18;14;14;16;16;1.8;16;20;1.8;28
4491;0;3350;1;-67;67;3116.045410;n/a;n/a;n/a;0.0;22;0.0;0.0;0.0;0.52;0.078;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;6.6;933960;1947124;46;6.1;22;26;32;20;9.8;20;16;24;9.8;16;16;16;1.8;16;24;1.8;30
4990;0;3350;1;-67;67;3115.376221;n/a;n/a;n/a;0.0;22;0.0;0.0;0.0;0.52;0.078;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;6.6;933960;1947124;46;6.4;22;24;30;22;20;16;0.0;26;2.0;16;16;16;4.0;16;20;14;30
