time;cc;earfcn;pci;rsrp;pl;cfo;pci_neigh;rsrp_neigh;cfo_neigh;dl_mcs;dl_snr;dl_turbo;dl_brate;dl_bler;ul_ta;distance_km;speed_kmph;ul_mcs;ul_buff;ul_brate;ul_bler;rf_o;rf_u;rf_l;is_attached;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;sys_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3;cpu_4;cpu_5;cpu_6;cpu_7;cpu_8;cpu_9;cpu_10;cpu_11;cpu_12;cpu_13;cpu_14;cpu_15
499;0;3350;1;-67;67;3132.527588;n/a;n/a;n/a;2.0;24;1.0;352;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;932116;1748628;46;3.3;22;30;16;12;9.8;12;0.0;20;12;20;0.0;16;24;3.8;18;18;3.8
998;0;3350;1;-67;67;3115.054932;n/a;n/a;n/a;2.9;23;1.0;4416.000000;0;0.52;0.078;0.0;22;0.0;43984.000000;0;0.0;0.0;0.0;1.0;6.6;933960;1947124;47;5.9;22;22;32;16;5.8;28;0.0;16;28;24;14;22;26;28;26;22;9.8
1497;0;3350;1;-67;67;3113.621826;n/a;n/a;n/a;0.0;21;0.0;0.0;0.0;0.52;0.078;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;6.6;933960;1947124;47;6.1;22;20;32;8.0;12;30;4.0;16;28;20;2.0;16;24;16;26;16;14
1996;0;3350;1;-67;67;3113.129150;n/a;n/a;n/a;0.0;21;0.0;0.0;0.0;0.52;0.078;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;6.6;933960;1947124;47;6.1;22;24;32;4.0;6.0;30;2.0;14;30;22;12;16;26;18;30;22;6.0
2495;0;3350;1;-67;67;3111.403809;n/a;n/a;n/a;0.0;20;0.0;0.0;0.0;0.52;0.078;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;6.6;933960;1947124;47;6.1;22;20;32;3.8;1.8;30;0.0;16;28;20;3.8;20;24;18;26;18;18
2994;0;3350;1;-67;67;3114.617188;n/a;n/a;n/a;0.0;20;0.0;0.0;0.0;0.52;0.078;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;6.6;933960;2012660;47;6.3;22;22;32;5.8;1.8;30;1.8;14;28;26;12;20;26;22;30;24;9.8
3493;0;3350;1;-67;67;3118.888672;n/a;n/a;n/a;0.0;22;0.0;0.0;0.0;0.52;0.078;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;6.6;933960;2012660;47;6.1;22;20;32;10;2.0;30;10;16;28;22;20;20;26;20;24;18;2.0
3992;0;3350;1;-67;67;3117.107910;n/a;n/a;n/a;0.0;22;0.0;0.0;0.0;0.52;0.078;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;6.6;933960;2012660;47;6.1;22;20;32;7.8;9.8;30;1.8;16;28;22;16;16;24;16;24;16;1.8
4491;0;3350;1;-67;67;3114.859131;n/a;n/a;n/a;0.0;21;0.0;0.0;0.0;0.52;0.078;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;6.6;933960;2012660;47;6.2;22;20;32;10;10;32;16;16;30;24;14;18;24;20;24;20;4.0
4990;0;3350;1;-67;67;3115.655029;n/a;n/a;n/a;0.0;22;0.0;0.0;0.0;0.52;0.078;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;6.6;933960;2012660;47;5.9;22;18;32;14;18;30;2.0;12;28;20;0.0;16;24;16;22;16;0.0
5489;0;3350;1;-67;67;3118.105713;n/a;n/a;n/a;0.0;21;0.0;0.0;0.0;0.52;0.078;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;6.6;933960;2012660;47;5.9;22;20;32;14;20;28;0.0;14;28;20;0.0;14;26;20;22;16;0.0
5988;0;3350;1;-67;67;3115.256592;n/a;n/a;n/a;0.0;22;0.0;0.0;0.0;0.52;0.078;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;6.6;933960;2012660;47;6.0;22;18;32;14;18;30;0.0;14;26;20;0.0;14;24;16;24;16;0.0
6487;0;3350;1;-67;67;3113.619141;n/a;n/a;n/a;0.0;21;0.0;0.0;0.0;0.52;0.078;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;6.6;933960;2012660;47;5.9;22;18;32;14;14;28;0.0;14;28;20;1.8;18;24;16;24;16;0.0
6986;0;3350;1;-67;67;3115.247559;n/a;n/a;n/a;8.8;21;1.0;2384.000000;0;0.52;0.078;0.0;22;0.0;16544.000000;0;0.0;0.0;0.0;1.0;6.7;942144;2086392;47;6.2;23;20;32;16;12;30;4.0;16;30;22;4.0;16;24;16;24;16;0.0
7485;0;3350;1;-67;67;3116.421387;n/a;n/a;n/a;0.0;21;0.0;0.0;0.0;0.52;0.078;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;6.7;942144;2086392;47;6.0;23;22;32;3.8;14;30;3.8;14;28;20;14;14;24;16;22;16;1.8
7984;0;3350;1;-67;67;3117.860840;n/a;n/a;n/a;0.0;20;0.0;0.0;0.0;0.52;0.078;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;6.7;942144;2086392;47;5.9;23;18;32;14;3.8;30;0.0;14;28;20;14;16;24;16;24;14;0.0
8483;0;3350;1;-67;67;3112.546875;n/a;n/a;n/a;0.0;21;0.0;0.0;0.0;0.52;0.078;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;6.7;942144;2086392;47;5.9;23;20;32;2.0;16;28;0.0;18;28;22;14;14;26;16;20;18;0.0
8982;0;3350;1;-67;67;3120.042236;n/a;n/a;n/a;0.0;21;0.0;0.0;0.0;0.52;0.078;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;6.7;942144;2086392;47;5.9;23;18;32;1.8;18;30;0.0;14;26;20;14;16;24;16;24;16;0.0
9481;0;3350;1;-67;67;3117.729980;n/a;n/a;n/a;0.0;20;0.0;0.0;0.0;0.52;0.078;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;6.7;942144;2086392;47;6.0;23;20;32;10;8.0;28;0.0;12;28;22;16;16;24;18;22;18;2.0
9980;0;3350;1;-67;67;3109.753174;n/a;n/a;n/a;0.0;20;0.0;0.0;0.0;0.52;0.078;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;6.7;942144;2086392;47;5.9;23;18;32;5.8;12;30;0.0;12;28;20;9.8;16;24;18;24;16;3.8
10479;0;3350;1;-67;67;3114.932129;n/a;n/a;n/a;0.0;21;0.0;0.0;0.0;0.52;0.078;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;6.7;942144;2086392;47;5.9;23;18;34;14;4.0;28;0.0;14;28;20;0.0;18;24;18;28;16;14
10978;0;3350;1;-67;67;3121.036377;n/a;n/a;n/a;0.0;22;0.0;0.0;0.0;0.52;0.078;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;6.7;942144;2086392;47;5.9;23;20;32;3.8;14;30;0.0;12;28;22;0.0;22;26;16;24;18;0.0
11477;0;3350;1;-67;67;3112.771240;n/a;n/a;n/a;0.0;22;0.0;0.0;0.0;0.52;0.078;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;6.7;942144;2086392;47;5.9;23;18;32;12;6.0;28;2.0;14;28;20;6.0;18;24;18;24;20;4.0
11976;0;3350;1;-67;67;3110.749268;n/a;n/a;n/a;0.0;22;0.0;0.0;0.0;0.52;0.078;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;6.7;942144;2086392;47;5.9;23;18;32;8.0;8.0;30;0.0;12;28;20;14;16;24;16;24;16;2.0
12475;0;3350;1;-67;67;3118.719971;n/a;n/a;n/a;0.0;21;0.0;0.0;0.0;0.52;0.078;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;6.7;942144;2086392;47;6.0;23;28;24;10;8.0;30;8.0;16;28;22;14;14;24;16;24;16;2.0
