time;cc;earfcn;pci;rsrp;pl;cfo;pci_neigh;rsrp_neigh;cfo_neigh;dl_mcs;dl_snr;dl_turbo;dl_brate;dl_bler;ul_ta;distance_km;speed_kmph;ul_mcs;ul_buff;ul_brate;ul_bler;rf_o;rf_u;rf_l;is_attached;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;sys_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3;cpu_4;cpu_5;cpu_6;cpu_7;cpu_8;cpu_9;cpu_10;cpu_11;cpu_12;cpu_13;cpu_14;cpu_15
499;0;3350;1;-67;67;3020.775146;n/a;n/a;n/a;0.0;23;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;932248;1748628;43;3.1;22;26;32;12;12;16;2.0;14;20;18;0.0;16;16;8.0;18;14;4.0
997;0;3350;1;-73;73;3186.400391;n/a;n/a;n/a;1.9;16;1.0;1964.071899;0;0.52;0.078;0.0;22;0.0;10874.251953;0;0.0;1.0;28;1.0;6.6;934092;1947124;44;7.0;22;26;32;18;18;18;3.8;18;24;24;9.8;32;22;16;32;26;26
1496;0;3350;1;-86;86;4257.289551;n/a;n/a;n/a;0.0;0.58;0.0;0.0;0.0;0.52;0.078;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;932252;1945236;44;7.4;22;24;30;20;22;14;10;14;22;20;2.0;30;16;4.0;26;24;24
1995;0;3350;1;-85;85;5986.893555;n/a;n/a;n/a;0.0;0.62;0.0;0.0;0.0;0.52;0.078;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;932252;1945236;44;6.9;22;24;30;0.0;28;16;1.8;3.8;20;22;9.8;30;18;18;28;22;20
2494;0;3350;1;-84;84;6556.707031;n/a;n/a;n/a;0.0;0.68;0.0;0.0;0.0;0.52;0.078;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;932252;1945236;44;6.9;22;24;30;12;32;14;4.0;2.0;18;20;12;30;16;8.0;24;20;20
2993;0;3350;1;-83;83;5041.117188;n/a;n/a;n/a;0.0;0.79;0.0;0.0;0.0;0.52;0.078;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;932252;2010772;44;6.9;22;24;30;12;30;16;5.8;5.8;20;20;0.0;30;16;14;32;20;20
3492;0;3350;1;-85;85;3625.552002;n/a;n/a;n/a;0.0;0.65;0.0;0.0;0.0;0.52;0.078;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;932252;2010772;44;6.9;22;26;30;5.8;32;14;3.8;5.8;22;20;5.8;30;18;18;24;20;22
3991;0;3350;1;-85;85;3761.976562;n/a;n/a;n/a;0.0;0.83;0.0;0.0;0.0;0.52;0.078;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;932252;2010772;44;7.0;22;24;30;10;30;14;6.0;8.0;20;18;2.0;30;18;16;26;24;20
4490;0;3350;1;-85;85;3928.159912;n/a;n/a;n/a;0.0;0.59;0.0;0.0;0.0;0.52;0.078;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;932252;2010772;44;7.0;22;24;30;14;32;14;0.0;3.8;20;18;1.8;28;16;14;28;20;20
4989;0;3350;1;-85;85;1313.535522;n/a;n/a;n/a;0.0;0.61;0.0;0.0;0.0;0.52;0.078;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;932252;2010772;44;6.9;22;26;30;16;30;14;2.0;4.0;20;18;0.0;30;16;16;24;20;20
5488;0;3350;1;-85;85;322;n/a;n/a;n/a;0.0;0.55;0.0;0.0;0.0;0.52;0.078;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;932252;2010772;44;6.8;22;24;30;14;32;16;4.0;6.0;18;18;2.0;28;14;18;24;20;20
5986;0;3350;1;-85;85;216;n/a;n/a;n/a;0.0;0.70;0.0;0.0;0.0;0.52;0.078;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;932252;2010772;44;7.0;22;24;30;9.8;30;14;1.8;9.8;20;18;0.0;28;16;14;24;22;20
6484;0;3350;1;-85;85;672;n/a;n/a;n/a;0.0;0.61;0.0;0.0;0.0;0.52;0.078;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;932252;2010772;44;6.8;22;26;30;4.0;30;14;0.0;12;20;18;20;30;18;2.0;22;36;2.0
6983;0;3350;1;-86;86;372;n/a;n/a;n/a;0.0;0.60;0.0;0.0;0.0;0.52;0.078;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;932252;2010772;44;6.8;22;24;28;14;30;12;1.8;9.8;20;20;5.8;32;16;14;22;38;0.0
7481;0;3350;1;-86;86;990;n/a;n/a;n/a;0.0;0.53;0.0;0.0;0.0;0.52;0.078;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;932252;2010772;44;6.9;22;24;30;14;32;18;1.8;14;20;18;0.0;30;14;5.8;22;36;0.0
7980;0;3350;1;-84;84;2239.774170;n/a;n/a;n/a;0.0;0.89;0.0;0.0;0.0;0.52;0.078;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;932252;2010772;44;6.9;22;24;30;18;32;16;2.0;18;22;16;0.0;28;18;0.0;22;36;0.0
8479;0;3350;1;-85;85;1687.819458;n/a;n/a;n/a;0.0;0.72;0.0;0.0;0.0;0.52;0.078;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;932252;2010772;44;6.8;22;24;30;14;30;16;2.0;14;18;18;0.0;30;16;8.0;20;38;0.0
8978;0;3350;1;-86;86;2076.606934;n/a;n/a;n/a;0.0;0.66;0.0;0.0;0.0;0.52;0.078;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;932252;2010772;44;6.9;22;24;28;16;30;16;3.8;12;20;18;0.0;30;16;1.8;22;36;0.0
9477;0;3350;1;-85;85;2655.110840;n/a;n/a;n/a;0.0;0.74;0.0;0.0;0.0;0.52;0.078;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;932252;2010772;44;6.8;22;24;30;18;32;14;4.0;14;20;18;0.0;30;16;2.0;22;38;0.0
9976;0;3350;1;-85;85;2641.071289;n/a;n/a;n/a;0.0;0.90;0.0;0.0;0.0;0.52;0.078;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;932252;2010772;44;6.9;22;24;30;18;30;16;0.0;10;20;18;2.0;30;16;12;26;36;0.0
10475;0;3350;1;-86;86;2493.717773;n/a;n/a;n/a;0.0;0.64;0.0;0.0;0.0;0.52;0.078;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;932252;2010772;44;6.6;22;24;28;18;32;14;2.0;2.0;20;18;0.0;30;18;12;28;36;0.0
10974;0;3350;1;-85;85;2070.793945;n/a;n/a;n/a;0.0;0.52;0.0;0.0;0.0;0.52;0.078;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;932252;2010772;44;6.9;22;24;30;14;30;16;0.0;5.8;18;20;1.8;30;18;14;24;38;0.0
11473;0;3350;1;-87;87;-624;n/a;n/a;n/a;0.0;0.56;0.0;0.0;0.0;0.52;0.078;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;932252;2010772;44;6.8;22;24;30;18;32;16;0.0;2.0;20;18;0.0;30;16;12;26;36;0.0
11972;0;3350;1;-87;87;-2382.011963;n/a;n/a;n/a;0.0;0.53;0.0;0.0;0.0;0.52;0.078;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;932252;2010772;44;6.9;22;24;28;20;30;16;0.0;2.0;18;18;0.0;30;16;12;26;38;0.0
12471;0;3350;1;-85;85;-4206.581055;n/a;n/a;n/a;0.0;0.52;0.0;0.0;0.0;0.52;0.078;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;932252;2010772;44;6.8;22;22;30;7.8;30;16;0.0;14;20;18;1.8;30;16;12;22;38;0.0
12970;0;3350;1;-82;82;-5141.955566;n/a;n/a;n/a;0.0;0.88;0.0;0.0;0.0;0.52;0.078;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;932252;2010772;44;6.8;22;26;28;14;30;16;1.8;7.8;20;16;1.8;30;16;12;26;34;0.0
13469;0;3350;1;-86;86;-4513.251465;n/a;n/a;n/a;0.0;0.68;0.0;0.0;0.0;0.52;0.078;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;932252;2010772;44;6.8;22;24;30;20;32;16;0.0;2.0;20;20;4.0;30;18;14;22;38;0.0
